name,birthyear,language,lat,lng,gender,interests
Colin Bender,1953,German,47.30997,8.52462,m,swim
Maria Gilmore,1952,French,46.18396,6.10237,f,swim
Hunter Harris,1930,German,46.18396,6.10237,m,jazz
Karla Curtis,1939,French,47.30997,8.52462,f,jazz
Denise Castillo DDS,1940,French,46.18396,6.10237,f,knitting
Justin Johnson,1928,French,47.30997,8.52462,m,swim
Lisa Hansen,1946,French,46.18396,6.10237,f,swim
Robin Lee,1933,German,47.30997,8.52462,f,dogs;jazz;knitting
Angela Barnes,1941,French,47.30997,8.52462,f,cats
Lee Taylor,1938,French,47.30997,8.52462,m,children
Donald Dixon,1938,German,46.18396,6.10237,m,jazz
Julie Mccoy,1949,French,46.18396,6.10237,f,dogs
Christina Cunningham MD,1949,German,47.30997,8.52462,f,jazz;swim
Andrew Jones,1940,French,46.18396,6.10237,m,children
Steven Adkins,1932,French,47.30997,8.52462,m,cats;children
Christian Anderson,1942,French,47.30997,8.52462,m,swim
Gwendolyn Vasquez,1933,German,47.30997,8.52462,f,gardening
Jerry Morgan,1948,German,47.30997,8.52462,m,dogs;castles;gardening
Paul Foster,1950,German,47.30997,8.52462,m,swim
Erik Lee,1943,French,46.18396,6.10237,m,gardening
Jamie Bowman,1949,German,46.18396,6.10237,f,swim
Robert Smith,1932,German,47.30997,8.52462,m,gardening
Eric Blake,1940,French,46.18396,6.10237,m,castles;knitting
Patricia Taylor,1929,French,47.30997,8.52462,f,children
Gregory Davis,1936,German,46.18396,6.10237,m,knitting
Tyler Guerrero,1946,French,46.18396,6.10237,m,gardening
Vincent Reese,1941,German,46.18396,6.10237,m,jazz;gardening
Jodi Spears,1932,French,46.18396,6.10237,f,knitting
William Carroll,1941,German,46.18396,6.10237,m,dogs;castles
Christina Hurst,1941,French,47.30997,8.52462,f,gardening
Alexandra Owens,1938,German,46.18396,6.10237,f,gardening;knitting;swim
Nicole Mcbride,1932,German,46.18396,6.10237,f,jazz;gardening;swim
Darlene Gomez,1933,French,47.30997,8.52462,f,cats;children;jazz;gardening;swim
David Ward,1940,French,46.18396,6.10237,m,dogs;knitting
Michelle Fleming,1945,French,47.30997,8.52462,f,castles;swim
Joseph Le,1936,French,46.18396,6.10237,m,swim
Patricia Owen,1942,German,46.18396,6.10237,f,dogs
Chelsea Davis,1940,French,47.30997,8.52462,f,dogs;swim
Cathy Miller,1929,French,47.30997,8.52462,f,gardening;swim
Barbara Foley,1930,French,46.18396,6.10237,f,children;gardening;swim
Kevin Cox,1935,French,46.18396,6.10237,m,jazz
Dr. Kelly Anderson,1933,German,47.30997,8.52462,f,cats;children;knitting
Sherri Baker,1946,German,46.18396,6.10237,f,castles;swim
Laura Logan,1935,German,47.30997,8.52462,f,children;jazz
Lisa Gross,1939,French,47.30997,8.52462,f,dogs
Heather Morgan,1947,French,46.18396,6.10237,f,gardening
Randy Day,1943,German,46.18396,6.10237,m,knitting
Meredith Morris,1946,German,46.18396,6.10237,f,swim
Amy Hawkins,1952,French,47.30997,8.52462,f,knitting;swim
Jennifer Wilson,1931,French,46.18396,6.10237,f,cats;children
Mary Clark,1943,German,46.18396,6.10237,f,jazz
Justin Oneal,1950,German,46.18396,6.10237,m,swim
James Martin,1943,German,46.18396,6.10237,m,cats
Megan Nelson,1952,French,46.18396,6.10237,f,jazz
Mia Salas,1938,French,46.18396,6.10237,f,jazz
Bridget Newton,1929,German,46.18396,6.10237,f,castles;swim
Stephanie Brown,1933,French,46.18396,6.10237,f,jazz;gardening
Roberta Nelson,1950,French,47.30997,8.52462,f,knitting
Barbara Green,1948,French,46.18396,6.10237,f,gardening
Kaitlin Dominguez,1938,French,46.18396,6.10237,f,castles
Christopher Taylor,1936,German,46.18396,6.10237,m,swim
Gary Shepherd,1946,French,47.30997,8.52462,m,jazz
Victoria Shepherd,1930,German,47.30997,8.52462,f,cats;children
James Payne,1946,French,46.18396,6.10237,m,jazz;castles;gardening
Dominique King,1931,German,46.18396,6.10237,f,jazz;castles
Stephen Rosario,1941,French,47.30997,8.52462,m,children;knitting
Joe Newman,1944,French,46.18396,6.10237,m,knitting;swim
Teresa Santos,1942,French,47.30997,8.52462,f,jazz;swim
Brittany Giles,1947,German,47.30997,8.52462,f,cats;gardening
Patrick Bauer,1940,German,47.30997,8.52462,m,gardening
Maria Fitzgerald,1936,German,47.30997,8.52462,f,cats;knitting
Christopher Rubio,1928,German,46.18396,6.10237,m,swim
Michael Galvan,1943,German,46.18396,6.10237,m,children
Sherry Phillips,1949,French,47.30997,8.52462,f,cats;knitting
Stephen Cantrell,1940,German,47.30997,8.52462,m,jazz;gardening;swim
Misty Lewis,1951,German,47.30997,8.52462,f,castles
Joshua Harris,1947,French,47.30997,8.52462,m,children;knitting
Dorothy Collins,1938,French,47.30997,8.52462,f,cats;knitting
Jennifer Perkins,1936,French,46.18396,6.10237,f,dogs
Leroy Bass,1948,French,47.30997,8.52462,m,jazz
Brandon Johnson,1948,French,46.18396,6.10237,m,dogs;knitting
Dawn Bailey,1940,French,46.18396,6.10237,f,castles;knitting
Kenneth Leonard,1950,French,46.18396,6.10237,m,castles
Elizabeth Mitchell,1944,French,47.30997,8.52462,f,children
Robert Davis,1939,German,47.30997,8.52462,m,knitting
Susan Craig,1937,French,46.18396,6.10237,f,jazz
Andrew Powell,1950,French,47.30997,8.52462,m,swim
Duane Torres,1935,German,47.30997,8.52462,m,gardening
Travis Green,1950,French,46.18396,6.10237,m,cats
Alexandra Wilcox,1946,German,47.30997,8.52462,f,castles
Peggy Santos,1945,French,47.30997,8.52462,f,swim
Richard Reed,1947,French,47.30997,8.52462,m,knitting
Tonya Stevens,1928,German,46.18396,6.10237,f,dogs;knitting
David Williams,1940,German,47.30997,8.52462,m,swim
Scott Gonzales,1952,French,47.30997,8.52462,m,dogs;jazz;knitting
Joshua Henry,1933,French,46.18396,6.10237,m,cats;swim
Megan Hicks,1929,German,47.30997,8.52462,f,knitting
Michele Cantu,1950,French,46.18396,6.10237,f,swim
John Woods,1950,French,47.30997,8.52462,m,swim
Michael Martin,1945,French,47.30997,8.52462,m,knitting
Nancy Cox,1944,German,46.18396,6.10237,f,knitting
Michael Medina,1931,German,46.18396,6.10237,m,knitting
Thomas Lee,1931,German,46.18396,6.10237,m,castles;knitting
Joshua Oliver,1946,German,46.18396,6.10237,m,castles;knitting;swim
Maria Lee,1950,German,46.18396,6.10237,f,cats;castles
Carolyn Joseph,1948,German,46.18396,6.10237,f,children
Jeremy Sanders,1949,German,47.30997,8.52462,m,cats;swim
Brandon Wilson,1945,German,46.18396,6.10237,m,gardening;swim
Michelle Long,1935,German,47.30997,8.52462,f,jazz;knitting
Michelle Noble,1938,German,47.30997,8.52462,f,cats
Penny Dawson,1940,German,47.30997,8.52462,f,knitting
Michael Lee,1939,German,46.18396,6.10237,m,gardening;knitting
Jennifer Johnson,1947,German,47.30997,8.52462,f,children
Kayla Graves,1950,French,46.18396,6.10237,f,jazz
William Harrell,1947,French,47.30997,8.52462,m,swim
Nicholas Cowan,1942,German,47.30997,8.52462,m,jazz
Amy Gonzalez,1929,French,47.30997,8.52462,f,gardening
Barry Barnett,1940,German,47.30997,8.52462,m,knitting;swim
Justin Craig,1947,French,46.18396,6.10237,m,jazz
Kimberly Perry,1950,German,47.30997,8.52462,f,castles;swim
Kellie Barker,1941,French,46.18396,6.10237,f,knitting
Brenda Johnson,1934,French,46.18396,6.10237,f,dogs;jazz
Michael Freeman,1937,French,46.18396,6.10237,m,swim
Eric Lee,1930,German,47.30997,8.52462,m,cats;children;knitting;swim
Andrew Strong,1932,German,47.30997,8.52462,m,jazz;castles;swim
Paul Johnson,1935,German,46.18396,6.10237,m,cats
Curtis Graham,1950,French,47.30997,8.52462,m,swim
Ashley Woodward,1940,French,46.18396,6.10237,f,jazz;gardening
Carla Simpson,1939,French,46.18396,6.10237,f,jazz;castles
Anne Lynch,1948,French,47.30997,8.52462,f,gardening;knitting
Sean Williams,1929,German,46.18396,6.10237,m,children;swim
Joseph Li,1929,German,47.30997,8.52462,m,swim
Jessica Flores,1941,German,46.18396,6.10237,f,swim
Joshua Wilson,1945,French,47.30997,8.52462,m,cats;gardening
Barry Pacheco,1938,French,47.30997,8.52462,m,jazz
Heather Flores,1935,German,46.18396,6.10237,f,children
Melissa Hahn,1945,French,46.18396,6.10237,f,gardening
Michael Mcclure,1940,German,46.18396,6.10237,m,jazz;castles
Keith Humphrey,1951,French,46.18396,6.10237,m,dogs
Angela Hopkins,1936,French,47.30997,8.52462,f,gardening
Tina Allen,1938,German,46.18396,6.10237,f,gardening
Jennifer Campos,1929,French,47.30997,8.52462,f,knitting
Joseph Lindsey,1934,French,46.18396,6.10237,m,cats;knitting
Natalie Weaver,1933,German,46.18396,6.10237,f,swim
Ana Gonzalez,1931,French,46.18396,6.10237,f,swim
Alicia Carlson,1944,French,46.18396,6.10237,f,knitting
Laura Bennett,1947,German,47.30997,8.52462,f,dogs;jazz;castles
Rebecca Fuller DVM,1936,French,46.18396,6.10237,f,jazz
Valerie Anderson,1947,French,47.30997,8.52462,f,gardening
Christopher Brown,1934,German,46.18396,6.10237,m,swim
Deborah Turner,1933,French,47.30997,8.52462,f,dogs;jazz;knitting
Deborah Moore,1947,French,46.18396,6.10237,f,swim
Victor Obrien,1952,German,47.30997,8.52462,m,jazz;swim
Mariah Ryan,1950,French,47.30997,8.52462,f,children;swim
Steven Cooper,1943,French,47.30997,8.52462,m,children;knitting;swim
Troy Mcdonald,1940,German,47.30997,8.52462,m,cats;swim
Dustin Brown,1948,German,46.18396,6.10237,m,dogs;jazz
Michele Kelley,1929,French,46.18396,6.10237,f,knitting
Debra Frey,1936,German,46.18396,6.10237,f,gardening
Kimberly Moore,1934,French,47.30997,8.52462,f,cats;dogs;castles
Judith Williams,1941,German,47.30997,8.52462,f,cats;swim
Willie Wright,1951,German,47.30997,8.52462,m,jazz;castles
Brandon Pineda,1946,German,47.30997,8.52462,m,swim
Summer Nguyen,1946,German,46.18396,6.10237,f,cats;children;castles;knitting
Tony Powell,1937,French,46.18396,6.10237,m,jazz;gardening
Douglas Osborne,1946,German,46.18396,6.10237,m,dogs
Cathy Holmes,1947,French,47.30997,8.52462,f,knitting
Tracy Smith,1938,German,47.30997,8.52462,f,knitting
Michelle Greene,1946,German,47.30997,8.52462,f,jazz
Patrick Bennett,1930,French,47.30997,8.52462,m,knitting
Alexis Spencer,1948,French,47.30997,8.52462,f,gardening
Jack Guerrero,1948,German,46.18396,6.10237,m,dogs;children;knitting
Derrick Jensen,1935,German,46.18396,6.10237,m,children;swim
William Ryan,1952,German,46.18396,6.10237,m,swim
Russell Johnson,1948,German,46.18396,6.10237,m,dogs;jazz;knitting
Laurie Richards,1944,German,47.30997,8.52462,f,cats
Kaitlyn Smith,1948,French,46.18396,6.10237,f,dogs;knitting
Christopher Young,1941,German,46.18396,6.10237,m,dogs;knitting
Rhonda Walker,1939,French,47.30997,8.52462,f,cats;children
Joel Fisher,1932,French,46.18396,6.10237,m,dogs
Joan Mcclure,1936,German,46.18396,6.10237,f,dogs;swim
Dawn Ramos,1943,French,47.30997,8.52462,f,gardening
Matthew Rose,1938,French,46.18396,6.10237,m,jazz
Dorothy Johnson,1945,French,46.18396,6.10237,f,knitting
Christina Gonzalez,1929,French,46.18396,6.10237,f,children;jazz
Olivia Garcia DDS,1946,French,46.18396,6.10237,f,castles
Jason Williams,1942,German,46.18396,6.10237,m,gardening;swim
Lindsey Webb,1947,German,47.30997,8.52462,f,castles
Emily Brennan,1931,German,47.30997,8.52462,f,knitting
Jared Harris,1934,French,46.18396,6.10237,m,jazz;castles
Todd Graham,1952,German,47.30997,8.52462,m,children
Craig Smith,1952,French,47.30997,8.52462,m,children
Randy Bennett,1936,French,46.18396,6.10237,m,jazz
Christian Hoover,1944,French,47.30997,8.52462,m,dogs;swim
Jared Silva,1936,French,46.18396,6.10237,m,castles
Steven Hernandez,1947,French,47.30997,8.52462,m,swim
Evan Mathews,1933,German,46.18396,6.10237,m,gardening
David Thomas,1935,French,46.18396,6.10237,m,knitting
Scott Moore,1944,French,47.30997,8.52462,m,children;castles;swim
Jasmine Barrera,1931,French,47.30997,8.52462,f,cats;children;castles;knitting
Michael Keller,1949,German,46.18396,6.10237,m,cats;dogs;swim
Kyle Rodriguez,1948,German,46.18396,6.10237,m,children;castles
Anthony Pennington,1930,German,46.18396,6.10237,m,castles
Brooke Kirby,1942,German,47.30997,8.52462,f,castles
Brett Knight,1929,German,46.18396,6.10237,m,knitting
Carlos Reeves,1936,French,47.30997,8.52462,m,cats;swim
Antonio Owen,1930,German,46.18396,6.10237,m,children
Roger Cook,1943,German,47.30997,8.52462,m,knitting
Dr. Stuart Oconnor III,1947,French,46.18396,6.10237,m,gardening;swim
Samantha Dickerson,1932,German,47.30997,8.52462,f,castles
Jeffrey Gonzalez,1936,German,46.18396,6.10237,m,dogs;knitting
Chelsey Lawrence,1949,German,47.30997,8.52462,f,swim
Sheila Melton,1949,French,46.18396,6.10237,f,dogs;jazz
William Cruz,1949,French,47.30997,8.52462,m,children;swim
Molly Guerrero,1930,German,47.30997,8.52462,f,knitting
Adam Day,1941,French,46.18396,6.10237,m,knitting
Michael Obrien,1935,French,47.30997,8.52462,m,knitting
Clinton Owens,1943,French,46.18396,6.10237,m,gardening
Andrew Garcia,1949,German,47.30997,8.52462,m,dogs;children;castles;gardening
Jacqueline Adams,1948,German,46.18396,6.10237,f,castles;gardening
Tina Farmer,1938,German,47.30997,8.52462,f,children;castles
Michael Hoffman,1941,French,47.30997,8.52462,m,swim
Tony Berry,1947,German,47.30997,8.52462,m,cats
David Grimes,1931,French,47.30997,8.52462,m,gardening
Amanda Lewis,1944,German,46.18396,6.10237,f,knitting;swim
Heidi Anderson,1949,French,46.18396,6.10237,f,swim
Kevin Richards,1950,French,47.30997,8.52462,m,swim
Amber Mendez,1939,French,46.18396,6.10237,f,dogs;gardening
Leah Choi,1932,German,46.18396,6.10237,f,swim
Gilbert Brown,1937,French,47.30997,8.52462,m,dogs;gardening
Lauren Matthews,1935,French,46.18396,6.10237,f,cats;knitting
Brenda Webster,1936,German,46.18396,6.10237,f,children;jazz;knitting
Lauren Allen,1932,French,47.30997,8.52462,f,knitting
Brooke Porter,1935,French,47.30997,8.52462,f,swim
Mark Melendez,1944,French,47.30997,8.52462,m,dogs;knitting
Matthew Thompson,1950,German,46.18396,6.10237,m,cats;dogs;jazz;gardening;swim
Amy Williams,1930,German,47.30997,8.52462,f,gardening
Judith Spence,1930,French,47.30997,8.52462,f,dogs;castles
Christopher Hernandez,1952,German,46.18396,6.10237,m,swim
Zachary Santos,1936,German,47.30997,8.52462,m,children
Joanne Wright,1936,German,47.30997,8.52462,f,castles
Dr. Joseph Bautista,1944,German,47.30997,8.52462,m,knitting
Cameron Heath,1946,German,47.30997,8.52462,m,gardening
Cody Johnston,1942,French,46.18396,6.10237,m,castles;swim
Leah Nguyen,1942,French,46.18396,6.10237,f,castles
Amy Young,1945,French,46.18396,6.10237,f,knitting
William Gordon DDS,1947,French,46.18396,6.10237,m,castles
Andrew Thompson,1947,German,47.30997,8.52462,m,cats;gardening
Johnny Love,1949,French,46.18396,6.10237,m,jazz;knitting
Andrew Ramos,1949,German,47.30997,8.52462,m,knitting
Scott Hopkins,1953,French,47.30997,8.52462,m,cats;knitting
Lisa Johnson,1949,German,47.30997,8.52462,f,castles
Roy Hill,1948,German,46.18396,6.10237,m,cats;gardening
Allison Travis,1930,German,46.18396,6.10237,f,castles
Joshua Webb,1933,German,46.18396,6.10237,m,cats
Adam Bell,1935,German,46.18396,6.10237,m,knitting
Michael Rodriguez,1951,German,47.30997,8.52462,m,gardening
Amy Savage,1931,German,46.18396,6.10237,f,castles
Brooke Jones,1935,German,46.18396,6.10237,f,castles;gardening
Donna Saunders,1929,French,47.30997,8.52462,f,dogs
Keith Moreno,1940,French,46.18396,6.10237,m,jazz
Ronald Roberts,1931,French,46.18396,6.10237,m,jazz
Samantha Taylor,1932,German,47.30997,8.52462,f,knitting
Anthony Davis,1939,French,47.30997,8.52462,m,gardening
Thomas Walls,1951,French,47.30997,8.52462,m,swim
Francisco Velasquez,1943,German,46.18396,6.10237,m,swim
Jorge Gregory,1937,German,46.18396,6.10237,m,gardening
Mark Brown,1940,French,46.18396,6.10237,m,gardening
Patrick Williams,1928,German,46.18396,6.10237,m,cats;gardening
Henry Sullivan,1950,German,47.30997,8.52462,m,knitting;swim
Natalie Hamilton,1941,German,47.30997,8.52462,f,gardening
Calvin James,1949,German,47.30997,8.52462,m,swim
Angela Garza,1929,German,47.30997,8.52462,f,knitting
David Brewer,1944,French,46.18396,6.10237,m,castles
Tabitha Weber,1940,German,47.30997,8.52462,f,castles;gardening
Maria Drake MD,1939,German,47.30997,8.52462,f,castles
Dawn Richardson,1944,German,46.18396,6.10237,f,children
John Hall,1953,German,47.30997,8.52462,m,gardening
Veronica Wright,1944,French,46.18396,6.10237,f,gardening;swim
Brandi Collins,1949,French,46.18396,6.10237,f,cats
Jonathan Grant,1944,French,46.18396,6.10237,m,jazz
Jennifer Carter,1949,German,47.30997,8.52462,f,gardening;knitting;swim
Gregory Parker,1948,German,46.18396,6.10237,m,knitting
Benjamin Riley,1934,German,47.30997,8.52462,m,knitting
Terri Garner,1948,French,47.30997,8.52462,f,gardening;swim
Monica Larson,1947,German,47.30997,8.52462,f,castles;swim
Nicholas Reyes,1931,German,46.18396,6.10237,m,children;jazz
Jenna Jennings,1935,German,46.18396,6.10237,f,jazz;knitting
Amanda Moreno,1929,German,46.18396,6.10237,f,knitting
Steven Hale,1932,French,47.30997,8.52462,m,children;jazz;knitting
Andrea Smith,1945,German,46.18396,6.10237,f,jazz;swim
Taylor Case,1929,French,47.30997,8.52462,f,knitting
Joseph Leon,1932,French,47.30997,8.52462,m,children
Tony Brown,1941,German,46.18396,6.10237,m,cats;gardening;knitting
Patrick Fernandez,1947,German,46.18396,6.10237,m,gardening
Jeffrey Sullivan,1936,German,47.30997,8.52462,m,knitting
Dylan Richmond,1936,German,47.30997,8.52462,m,dogs
Aaron Johnson,1929,German,47.30997,8.52462,m,gardening
Kristen Frost,1949,German,47.30997,8.52462,f,dogs;children
Drew Gardner,1932,German,46.18396,6.10237,m,swim
Ashley Foster,1952,German,46.18396,6.10237,f,jazz;castles
Michael Hamilton,1932,French,47.30997,8.52462,m,swim
Jack Walker,1932,German,47.30997,8.52462,m,castles
Jonathan Davis,1928,French,47.30997,8.52462,m,gardening
Monica Santos,1952,French,47.30997,8.52462,f,children;gardening;knitting
Mr. Andrew Carter,1933,French,47.30997,8.52462,m,swim
Tanya Howard,1932,French,46.18396,6.10237,f,cats;knitting
Ashley Cummings,1931,German,46.18396,6.10237,f,jazz
William Trujillo,1931,French,47.30997,8.52462,m,swim
Rebecca Michael,1931,German,47.30997,8.52462,f,castles
Eric Rubio,1948,German,46.18396,6.10237,m,knitting
John Williams,1933,German,46.18396,6.10237,m,cats;gardening
Taylor Burke,1933,German,46.18396,6.10237,m,jazz;castles
Sonia Gonzales,1950,German,47.30997,8.52462,f,swim
Ronald Valencia,1940,French,47.30997,8.52462,m,swim
Alexis Martin,1950,French,46.18396,6.10237,f,swim
Jonathan Martinez,1938,German,47.30997,8.52462,m,castles
Christopher Carter,1942,French,46.18396,6.10237,m,cats;castles
Sarah Hayes,1937,French,47.30997,8.52462,f,castles
Diana Kennedy,1931,German,46.18396,6.10237,f,jazz
Alyssa Johnson,1937,German,46.18396,6.10237,f,cats;gardening;swim
Sarah Turner,1932,French,46.18396,6.10237,f,gardening
Robert Osborne,1947,French,47.30997,8.52462,m,gardening;swim
Aaron Perry,1932,French,47.30997,8.52462,m,swim
Gina Smith,1948,French,47.30997,8.52462,f,jazz;knitting
Katrina Wilson,1934,German,46.18396,6.10237,f,cats;gardening;knitting
Dylan Keller,1933,French,47.30997,8.52462,m,children;jazz;knitting
John Fox,1949,German,46.18396,6.10237,m,cats;jazz;gardening;knitting
Stephanie Lynn,1929,French,46.18396,6.10237,f,gardening;knitting
Jackson Mcdonald,1950,German,46.18396,6.10237,m,gardening
John Good,1946,French,46.18396,6.10237,m,children;gardening;knitting;swim
Frank Wagner,1938,French,47.30997,8.52462,m,castles
Peter Sampson,1947,French,47.30997,8.52462,m,swim
Natalie Williams,1938,French,46.18396,6.10237,f,castles;knitting
Jim Lara,1928,French,47.30997,8.52462,m,jazz;castles;knitting;swim
Hailey Davenport,1948,German,46.18396,6.10237,f,children
Nancy Gonzalez,1942,French,47.30997,8.52462,f,castles
Riley Evans,1933,German,47.30997,8.52462,m,children;castles
